paper_id,title,year,authors,topic,venue_or_source,pdf_path,url,method,dataset,metrics,limitations,notes
P001,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",2020,"Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; Naman Goyal; Heinrich Küttler; Mike Lewis; Wen-tau Yih; Tim Rocktäschel; Sebastian Riedel; Douwe Kiela","Foundational RAG","NeurIPS 2020 / arXiv","papers/pdfs/P001_rag_knowledge_intensive_nlp.pdf","https://arxiv.org/abs/2005.11401","RAG with parametric memory and non-parametric memory using dense retrieval over Wikipedia","Open-domain QA and knowledge-intensive NLP tasks","Retrieval and generation performance across QA and generation tasks","Original RAG formulation focuses on knowledge-intensive NLP but not specifically on academic literature-review citation verification","Foundational paper for understanding classical RAG architecture"
P002,"RAGAS: Automated Evaluation of Retrieval Augmented Generation",2023,"Shahul Es; Jithin James; Luis Espinosa-Anke; Steven Schockaert","RAG Evaluation","EACL 2024 / arXiv","papers/pdfs/P002_ragas_automated_evaluation.pdf","https://arxiv.org/abs/2309.15217","Reference-free evaluation framework for Retrieval-Augmented Generation pipelines","RAG pipelines and retrieval-generation evaluation settings","Faithfulness; answer relevancy; context precision; context recall","Evaluation-focused work but not a complete global academic literature-review RAG system","Important paper for designing evaluation metrics in ScholarRAG-Eval"
P003,"Retrieval-Augmented Generation for Large Language Models: A Survey",2023,"Yunfan Gao; Yun Xiong; Xinyu Gao; Kangxiang Jia; Jinliu Pan; Yuxi Bi; Yi Dai; Jiawei Sun; Meng Wang; Haofen Wang","RAG Survey","arXiv","papers/pdfs/P003_rag_for_llms_survey.pdf","https://arxiv.org/abs/2312.10997","Survey of Naive RAG Advanced RAG and Modular RAG paradigms","RAG systems; retrieval; generation; augmentation; evaluation frameworks","RAG taxonomy; system components; evaluation discussion; research challenges","Survey paper provides broad taxonomy but is not an implementation or experiment-specific benchmark for this project","Useful for literature review structure and terminology"
P004,"RAGChecker: A Fine-grained Framework for Diagnosing Retrieval-Augmented Generation",2024,"Dongyu Ru; Lin Qiu; Xiangkun Hu; Tianhang Zhang; Peng Shi; Shuaichen Chang; Cheng Jiayang; Cunxiang Wang; Shichao Sun; Huanyu Li; Zizao Zhang; Binjie Wang; Jiarong Jiang; Tong He; Zhiguo Wang; Pengfei Liu; Yue Zhang; Zheng Zhang","RAG Evaluation","arXiv / Amazon Science","papers/pdfs/P004_ragchecker_fine_grained_framework.pdf","https://arxiv.org/abs/2408.08067","Fine-grained diagnostic evaluation framework for RAG retrieval and generation modules","8 RAG systems evaluated across benchmark settings","Retriever and generator diagnostic metrics; correlation with human judgments","Focused on evaluation diagnostics, not specifically on academic literature-review RAG or citation verification","Useful for designing fine-grained evaluation modules in ScholarRAG-Eval"
P005,"RAGBench: Explainable Benchmark for Retrieval-Augmented Generation Systems",2024,"Robert Friel; Masha Belyi; Atindriyo Sanyal","RAG Benchmark","arXiv / Hugging Face Dataset","papers/pdfs/P005_ragbench_explainable_benchmark.pdf","https://arxiv.org/abs/2407.11005","Large-scale explainable benchmark and TRACe framework for evaluating RAG systems","100k RAG examples across five industry-specific domains and multiple RAG task types","TRACe evaluation metrics; benchmark comparisons with LLM-based evaluators and finetuned RoBERTa","Industry-focused benchmark; not designed specifically for academic literature-review reasoning","Useful for benchmark design and explainable RAG evaluation"
P006,"Enabling Large Language Models to Generate Text with Citations",2023,"Tianyu Gao; Howard Yen; Jiatong Yu; Danqi Chen","Citation Generation and Verification","EMNLP 2023 / arXiv","papers/pdfs/P006_llms_generate_text_with_citations.pdf","https://arxiv.org/abs/2305.14627","ALCE benchmark for evaluating LLM-generated text with citations","ASQA; QAMPARI; ELI5 with retrieval corpora","Fluency; correctness; citation quality","Focuses on citation-grounded generation, not full academic paper corpus-level RAG","Directly useful for citation verification and unsupported-claim detection"
P007,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",2023,"Akari Asai; Zeqiu Wu; Yizhong Wang; Avirup Sil; Hannaneh Hajishirzi","Adaptive RAG","ICLR 2024 / arXiv","papers/pdfs/P007_self_rag.pdf","https://arxiv.org/abs/2310.11511","Self-reflective RAG framework where the model learns when to retrieve, generate, and critique using reflection tokens","Open-domain QA; reasoning; fact verification; long-form generation tasks","Task performance; factuality; citation accuracy","Requires training or specialized model behavior, so it is not a simple plug-and-play pipeline for beginner implementation","Useful for understanding adaptive retrieval and self-checking generation"
P008,"Corrective Retrieval Augmented Generation",2024,"Shi-Qi Yan; Jia-Chen Gu; Yun Zhu; Zhen-Hua Ling","Corrective RAG","arXiv","papers/pdfs/P008_corrective_rag.pdf","https://arxiv.org/abs/2401.15884","CRAG uses a lightweight retrieval evaluator, web-search extension, and decompose-then-recompose strategy to improve generation when retrieval quality is poor","Four datasets covering short-form and long-form generation tasks","Generation performance across short-form and long-form tasks","Depends on retrieval-evaluator quality and may add complexity through web-search extension","Useful for handling weak or misleading retrieved evidence"
P009,"From Local to Global: A Graph RAG Approach to Query-Focused Summarization",2024,"Darren Edge; Ha Trinh; Newman Cheng; Joshua Bradley; Alex Chao; Apurva Mody; Steven Truitt; Dasha Metropolitansky; Robert Osazuwa Ness; Jonathan Larson","Global RAG / GraphRAG","arXiv","papers/pdfs/P009_graph_rag_query_focused_summarization.pdf","https://arxiv.org/abs/2404.16130","GraphRAG builds an entity graph and community summaries to answer global questions over large private corpora","Datasets around the 1 million token range for global sensemaking questions","Comprehensiveness; diversity; comparison against conventional RAG baseline","More complex than standard RAG and may require graph construction and summary generation overhead","Directly relevant to corpus-level academic literature-review questions"
P010,"Lost in the Middle: How Language Models Use Long Contexts",2023,"Nelson F. Liu; Kevin Lin; John Hewitt; Ashwin Paranjape; Michele Bevilacqua; Fabio Petroni; Percy Liang","Long-Context Evaluation","TACL 2024 / arXiv","papers/pdfs/P010_lost_in_the_middle.pdf","https://arxiv.org/abs/2307.03172","Evaluation of how language models use long input contexts when relevant information appears at different positions","Multi-document question answering; key-value retrieval","Accuracy under different relevant-information positions in context","Not a RAG system itself, but explains a key weakness of relying only on long context","Useful justification for retrieval, reranking, and context-selection experiments"
